"ensemble_forecast_posterior_2017","ensemble_forecast_posterior_2019","ensemble_forecast_posterior_2020","ensemble_forecast_posterior_2022","ensemble_forecast_posterior_2023"
8256.3499273336,6577.52335299542,5951.42283628649,3960.0459578732,2428.87827875273
6684.89911282759,8103.056501712,4334.1649172136,3795.78589424411,2435.13947193271
8217.12365097226,8040.12708259715,4380.31593194454,4566.99105887439,2444.23753235263
7160.11006046124,6895.66317542217,4781.48260514131,4307.14249625879,2450.41161956286
7624.56757754398,6671.44373176209,6429.49821611027,3666.84920076106,2456.76392039652
9704.630943927,6827.83713442443,5152.37937925363,4372.20756684803,2464.76041317669
8488.99750221136,6924.96459723509,5133.10451520123,3815.77917865999,2477.16744511749
9599.67950778204,6348.41901822975,3984.51955130181,4933.68024589703,2483.24733737878
7045.53616239194,8086.40528056732,6975.77487664769,2984.65466664792,2494.86329321387
10574.3428199714,10819.5199040899,5769.00774421348,5204.28730233796,2502.49957244107
7047.72157538049,7038.31000030838,7218.57012337893,4368.70244778232,2510.0733958674
8652.69868750043,8116.27463952546,5065.93713333675,4042.59993966282,2522.83057497385
7981.4157891016,5545.50691249966,5768.58765372346,3114.13309660796,2531.30317408104
8195.34808249601,6182.35386581054,4742.49644526478,4019.64161386289,2543.50040047368
8788.1866055891,7023.09626473399,6347.91228791855,4989.76848351168,2549.45209539096
8155.88833978299,6568.6589327415,6868.49243149218,2855.1046350276,2554.53729423126
11526.3314723254,9919.13188214612,4779.27268118304,4102.69108747985,2558.31614271642
8218.81726468599,7575.70600429851,5680.55380170648,3279.06023897624,2564.93957143201
9547.57378293086,6591.03557583744,5146.13388442126,3870.06690200391,2567.78397873648
10158.0557316871,5627.63231193864,4837.44450574416,3420.61418087993,2575.64758387202
9054.65136423254,6033.7693841662,5567.13275168715,3891.91328061019,2580.96888995882
8168.95380258451,5189.23919271842,5577.84820942347,3232.46668097233,2585.13972892446
7989.80354094757,5492.81171325974,5743.44769832439,4032.29151489652,2587.1620081068
7132.78910095633,6777.00585989639,5695.15841042579,3890.2706658263,2590.98486002278
8559.24907464912,6280.98752706635,4146.44192304342,3308.97344087951,2597.36240273853
11772.2428048206,6194.39285873326,5653.76073781651,4221.13251843961,2598.83658655994
10216.2989188663,6037.97306000132,4173.73383137466,4657.13214390982,2611.70388153455
8906.49664325096,6778.01784639491,4860.69858644244,4785.20288112726,2616.82259955361
6972.14421700311,7634.85569016028,7659.76139642437,3300.52443669777,2623.57409242243
7945.71604337657,8253.6618056815,5845.71765262795,3921.67923267049,2627.46649505799
7650.64463320755,7375.59568978894,5971.10917158235,4186.11640834851,2632.20743768727
7604.25547202651,10238.6115700172,6237.983610162,3949.84372734159,2634.86837798978
8999.04263883327,5434.74355866693,4880.47023790622,4001.80512072079,2638.31215207636
9547.88844844616,6988.57474655804,8921.13060542628,3201.49406659137,2643.57189476824
7058.80286198676,6560.47072398674,5193.54689761568,4036.0478236482,2652.31174424459
7818.74764712387,6091.41530156005,6754.02884799081,3789.76619149639,2657.35982985166
8502.27540117464,7569.01344332611,5327.51340435369,4466.85705244866,2667.76134958437
9118.58337808089,6481.16109593523,5380.66655926212,3855.33770160749,2672.64908589952
8659.32613302339,6782.54984891388,4643.47133034087,3970.90025671838,2676.36816413464
8609.75022212959,6423.3038130115,5394.41938492277,5300.44638023647,2681.20508278748
10695.6943656365,7630.78806327026,4897.77591255208,4167.69926136701,2684.6266284033
10052.5342767059,7462.82381737218,5689.590688263,4258.96580177977,2688.43186940682
10191.850943528,6164.52958854438,7576.2027203364,4538.54960134047,2692.86827921976
