"","rhat","neff","mean","sd","X2.5.","X25.","X50.","X75.","X97.5."
"Sp[26]",1.00012084743244,2552.89502258513,6638.23865783895,1157.92792113757,4507.34952857195,5903.8519243523,6586.30482023437,7289.88680994332,9165.08260756364
"Sp[27]",1.00006522919891,4847.65483424709,6937.77010223912,1155.29911601272,4718.05352202359,6189.19921673333,6935.76931255541,7625.72918602067,9342.73672840213
"Sp[28]",1.00161172441394,1593.3413258823,5945.18218968448,1041.30632751149,3917.22778796126,5270.76620362256,5955.09714699425,6560.32515182685,8120.76593648128
"Sp[29]",0.999955162477439,4780.34864859992,5963.85849790909,1019.471419191,3993.43077047529,5290.94295085338,5983.90189146999,6644.78139072042,7957.48674060566
"Sp[30]",1.00026020962362,4745.3631287719,4156.78341496386,692.513595834953,2856.71335369896,3721.53725489325,4123.45751299057,4561.34473844282,5639.07087061402
"Sp[31]",1.00105421000035,2480.21310132015,3800.37704014255,762.213106762032,2320.43473251684,3249.15074408441,3798.40021532059,4341.69710154786,5220.88709026681
"Sp[32]",1.00114584912497,3532.19095028786,3115.87959140535,603.94434307114,2224.09195227071,2674.28447902765,3006.6891738176,3453.99939505927,4587.38579494024
"Sp[33]",1.00101027292297,3148.93767775125,4605.48184928365,812.324622733377,3329.66655725111,4049.69914902401,4471.74349558987,5048.26421310854,6511.23595081901
"Sp[34]",1.00012563738905,5000,5592.80440366997,926.21336304029,3975.23139940819,4990.55345504744,5513.34544472077,6103.22453847675,7705.23653911655
"Sp[35]",1.00026839604028,4991.76744314007,6361.19063874888,1030.77504903444,4491.82122863821,5713.06411456549,6283.70829685843,6932.44219561475,8622.04648324236
"Sp[36]",1.00325682296327,2364.9188928172,7370.12789111588,1308.83232093693,4844.37383110819,6485.33553378339,7383.81356629593,8277.43732522093,9912.49460914563
"Sp[37]",1.00222452634479,2585.92931999756,7999.23212247145,1364.87609046891,5221.67633157333,7076.33206814334,8041.23034758655,8891.14504352451,10683.6373893267
"Sp[38]",1.00302119082366,2703.98269437322,8050.34406487879,1377.35717978582,5326.38017165529,7142.66571179315,8067.05042502869,8916.0011829023,10843.2485893216
"Sp[39]",0.999928524221426,4702.78716651234,7722.28211094745,1237.17092459078,5373.39677815113,6944.28104363705,7689.8433187328,8435.40852063446,10302.714266018
"Sp[40]",0.999851515618429,4903.25354938643,6311.44566456802,1057.49969015564,4366.50367286405,5615.80575964368,6271.20425591306,6922.70561719964,8588.91471051016
